User,Gesture Type,Number of Templates (E),Count,"Reco Result (1 if correct, 0 if incorrect)",Reco Score
1,pigtail,1,195,1,0.8999833028978477
1,question_mark,1,195,1,0.9621172060142839
1,rectangle,1,195,1,0.9456054921960659
1,right_curly_brace,1,195,1,0.9437116717643806
1,right_sq_bracket,1,195,1,0.9592716118577493
1,star,1,195,1,0.9321521164126014
1,triangle,1,195,1,0.9435256656648427
1,v,1,195,1,0.8120778005163611
1,arrow,1,210,1,0.827254923251399
1,caret,1,210,1,0.9692855062221495
1,check,1,210,1,0.940378272707512
1,circle,1,210,1,0.8949185378516611
1,delete_mark,1,210,1,0.917442967770304
1,left_curly_brace,1,210,1,0.8689581346725144
1,left_sq_bracket,1,210,1,0.9458120516069446
1,pigtail,1,210,1,0.8999833028978477
1,question_mark,1,210,1,0.9621172060142839
1,rectangle,1,210,1,0.9456054921960659
1,right_curly_brace,1,210,1,0.9437116717643806
1,right_sq_bracket,1,210,1,0.9592716118577493
1,star,1,210,1,0.9321521164126014
1,triangle,1,210,1,0.9435256656648427
1,v,1,210,1,0.8120778005163611
1,arrow,1,225,1,0.827254923251399
1,caret,1,225,1,0.9692855062221495
1,check,1,225,1,0.940378272707512
1,circle,1,225,1,0.8949185378516611
1,delete_mark,1,225,1,0.917442967770304
1,left_curly_brace,1,225,1,0.8689581346725144
1,left_sq_bracket,1,225,1,0.9458120516069446
1,pigtail,1,225,1,0.8999833028978477
1,question_mark,1,225,1,0.9621172060142839
1,rectangle,1,225,1,0.9456054921960659
1,right_curly_brace,1,225,1,0.9437116717643806
1,right_sq_bracket,1,225,1,0.9592716118577493
1,star,1,225,1,0.9321521164126014
1,triangle,1,225,1,0.9435256656648427
1,v,1,225,1,0.8120778005163611
1,arrow,1,240,1,0.827254923251399
1,caret,1,240,1,0.9692855062221495
1,check,1,240,1,0.940378272707512
1,circle,1,240,1,0.8949185378516611
1,delete_mark,1,240,1,0.917442967770304
1,left_curly_brace,1,240,1,0.8689581346725144
1,left_sq_bracket,1,240,1,0.9458120516069446
1,pigtail,1,240,1,0.8999833028978477
1,question_mark,1,240,1,0.9621172060142839
1,rectangle,1,240,1,0.9456054921960659
1,right_curly_brace,1,240,1,0.9437116717643806
1,right_sq_bracket,1,240,1,0.9592716118577493
1,star,1,240,1,0.9321521164126014
1,triangle,1,240,1,0.9435256656648427
1,v,1,240,1,0.8120778005163611
1,arrow,1,255,1,0.827254923251399
1,caret,1,255,1,0.9692855062221495
1,check,1,255,1,0.940378272707512
1,circle,1,255,1,0.8949185378516611
1,delete_mark,1,255,1,0.917442967770304
1,left_curly_brace,1,255,1,0.8689581346725144
1,left_sq_bracket,1,255,1,0.9458120516069446
1,pigtail,1,255,1,0.8999833028978477
1,question_mark,1,255,1,0.9621172060142839
1,rectangle,1,255,1,0.9456054921960659
1,right_curly_brace,1,255,1,0.9437116717643806
1,right_sq_bracket,1,255,1,0.9592716118577493
1,star,1,255,1,0.9321521164126014
1,triangle,1,255,1,0.9435256656648427
1,v,1,255,1,0.8120778005163611
1,arrow,1,270,1,0.827254923251399
1,caret,1,270,1,0.9692855062221495
1,check,1,270,1,0.940378272707512
1,circle,1,270,1,0.8949185378516611
1,delete_mark,1,270,1,0.917442967770304
1,left_curly_brace,1,270,1,0.8689581346725144
1,left_sq_bracket,1,270,1,0.9458120516069446
1,pigtail,1,270,1,0.8999833028978477
1,question_mark,1,270,1,0.9621172060142839
1,rectangle,1,270,1,0.9456054921960659
1,right_curly_brace,1,270,1,0.9437116717643806
1,right_sq_bracket,1,270,1,0.9592716118577493
1,star,1,270,1,0.9321521164126014
1,triangle,1,270,1,0.9435256656648427
1,v,1,270,1,0.8120778005163611
1,arrow,1,285,1,0.827254923251399
1,caret,1,285,1,0.9692855062221495
1,check,1,285,1,0.940378272707512
1,circle,1,285,1,0.8949185378516611
1,delete_mark,1,285,1,0.917442967770304
1,left_curly_brace,1,285,1,0.8689581346725144
1,left_sq_bracket,1,285,1,0.9458120516069446
1,pigtail,1,285,1,0.8999833028978477
1,question_mark,1,285,1,0.9621172060142839
1,rectangle,1,285,1,0.9456054921960659
1,right_curly_brace,1,285,1,0.9437116717643806
1,right_sq_bracket,1,285,1,0.9592716118577493
1,star,1,285,1,0.9321521164126014
1,triangle,1,285,1,0.9435256656648427
1,v,1,285,1,0.8120778005163611
1,arrow,1,300,1,0.827254923251399
1,caret,1,300,1,0.9692855062221495
1,check,1,300,1,0.940378272707512
1,circle,1,300,1,0.8949185378516611
1,delete_mark,1,300,1,0.917442967770304
1,left_curly_brace,1,300,1,0.8689581346725144
1,left_sq_bracket,1,300,1,0.9458120516069446
1,pigtail,1,300,1,0.8999833028978477
1,question_mark,1,300,1,0.9621172060142839
1,rectangle,1,300,1,0.9456054921960659
1,right_curly_brace,1,300,1,0.9437116717643806
1,right_sq_bracket,1,300,1,0.9592716118577493
1,star,1,300,1,0.9321521164126014
1,triangle,1,300,1,0.9435256656648427
1,v,1,300,1,0.8120778005163611
1,arrow,1,315,1,0.827254923251399
1,caret,1,315,1,0.9692855062221495
1,check,1,315,1,0.940378272707512
1,circle,1,315,1,0.8949185378516611
1,delete_mark,1,315,1,0.917442967770304
1,left_curly_brace,1,315,1,0.8689581346725144
1,left_sq_bracket,1,315,1,0.9458120516069446
1,pigtail,1,315,1,0.8999833028978477
1,question_mark,1,315,1,0.9621172060142839
1,rectangle,1,315,1,0.9456054921960659
1,right_curly_brace,1,315,1,0.9437116717643806
1,right_sq_bracket,1,315,1,0.9592716118577493
1,star,1,315,1,0.9321521164126014
1,triangle,1,315,1,0.9435256656648427
1,v,1,315,1,0.8120778005163611
1,arrow,1,330,1,0.827254923251399
1,caret,1,330,1,0.9692855062221495
1,check,1,330,1,0.940378272707512
1,circle,1,330,1,0.8949185378516611
1,delete_mark,1,330,1,0.917442967770304
1,left_curly_brace,1,330,1,0.8689581346725144
1,left_sq_bracket,1,330,1,0.9458120516069446
1,pigtail,1,330,1,0.8999833028978477
1,question_mark,1,330,1,0.9621172060142839
1,rectangle,1,330,1,0.9456054921960659
1,right_curly_brace,1,330,1,0.9437116717643806
1,right_sq_bracket,1,330,1,0.9592716118577493
1,star,1,330,1,0.9321521164126014
1,triangle,1,330,1,0.9435256656648427
1,v,1,330,1,0.8120778005163611
1,arrow,1,345,1,0.827254923251399
1,caret,1,345,1,0.9692855062221495
1,check,1,345,1,0.940378272707512
1,circle,1,345,1,0.8949185378516611
1,delete_mark,1,345,1,0.917442967770304
1,left_curly_brace,1,345,1,0.8689581346725144
1,left_sq_bracket,1,345,1,0.9458120516069446
1,pigtail,1,345,1,0.8999833028978477
1,question_mark,1,345,1,0.9621172060142839
1,rectangle,1,345,1,0.9456054921960659
1,right_curly_brace,1,345,1,0.9437116717643806
1,right_sq_bracket,1,345,1,0.9592716118577493
1,star,1,345,1,0.9321521164126014
1,triangle,1,345,1,0.9435256656648427
1,v,1,345,1,0.8120778005163611
1,arrow,1,360,1,0.827254923251399
1,caret,1,360,1,0.9692855062221495
1,check,1,360,1,0.940378272707512
1,circle,1,360,1,0.8949185378516611
1,delete_mark,1,360,1,0.917442967770304
1,left_curly_brace,1,360,1,0.8689581346725144
1,left_sq_bracket,1,360,1,0.9458120516069446
1,pigtail,1,360,1,0.8999833028978477
1,question_mark,1,360,1,0.9621172060142839
1,rectangle,1,360,1,0.9456054921960659
1,right_curly_brace,1,360,1,0.9437116717643806
1,right_sq_bracket,1,360,1,0.9592716118577493
1,star,1,360,1,0.9321521164126014
1,triangle,1,360,1,0.9435256656648427
1,v,1,360,1,0.8120778005163611
1,arrow,1,375,1,0.827254923251399
1,caret,1,375,1,0.9692855062221495
1,check,1,375,1,0.940378272707512
1,circle,1,375,1,0.8949185378516611
1,delete_mark,1,375,1,0.917442967770304
1,left_curly_brace,1,375,1,0.8689581346725144
1,left_sq_bracket,1,375,1,0.9458120516069446
1,pigtail,1,375,1,0.8999833028978477
1,question_mark,1,375,1,0.9621172060142839
1,rectangle,1,375,1,0.9456054921960659
1,right_curly_brace,1,375,1,0.9437116717643806
1,right_sq_bracket,1,375,1,0.9592716118577493
1,star,1,375,1,0.9321521164126014
1,triangle,1,375,1,0.9435256656648427
1,v,1,375,1,0.8120778005163611
1,arrow,1,390,1,0.827254923251399
1,caret,1,390,1,0.9692855062221495
1,check,1,390,1,0.940378272707512
1,circle,1,390,1,0.8949185378516611
